sex,age,year,taste_text,taste_senti,price_text,price_senti,envi_text,envi_senti
Male,19,2nd Year,mediocre ,Neutral,it's expensive ,Neutral,it peaceful but can be noisy,Positive
Male,20,2nd Year,Good but not excellent,Positive,Expensive,Neutral,Good. Please pressure wash.,Positive
Male,20,3rd Year,There are many delicious and appetizing food in food square,Positive,Decently priced and have a wide variety of choices,Neutral,Open space but can be improved more by having a cool environment since it’s a bit warm.,Positive
Male,20,3rd Year,Many variety of choices regarding food choice. Some or okay and affordable and some are expensive and delicious.,Positive,The mark-up is very noticeable and outright a scam. Food that would cost 25 pesos outside costs 65 pesos inside.,Negative,Very lively and you can find a-lot of people from different courses come together to eat. But sometimes there is a noticeable smell that puts off the joy of eating.,Positive
Male,20,3rd Year,They’re great and differ in excelent quality,Positive,It’s great!,Positive,It’s somewhat average,Neutral
Male,20,2nd Year,I don't find the foods delicious. I think it's just decent if you want to eat inside the campus. ,Negative,I think it's a bit expensive. I prefer eating somewhere cheaper and has extra rice and free drinks. ,Neutral,I think it's not visually appealing. Also some tables and chairs have stains. ,Neutral
Female,22,3rd Year,"Its okay and can make you full, also you can pick every type of food.",Positive,The prices are a bit high but its understandable sometimes.,Neutral,"The square is clean all the time, though sometimes its crowded.",Positive
Female,21,4th Year,It's ok but not good ,Positive,Some stalls/stores are quite overpriced ,Negative,Tables and chairs are lacking,Neutral
Male,20,3rd Year,Some of the food stall in the food square have a good taste. The problem is that some of the foods are expensive and some even doesn't taste that good considering their prices.,Positive,"Like I said, some of the foods in the food square are very expensive. The quality of the food is not really worth it for their price.",Positive,The food square have proper thrash bins and have many food stalls you can choose and buy from. The problem is that there isn't much space or seats especially when there are many students in the campus.,Negative
Male,21,3rd Year,The taste is satisfactory. But there at times were the food is just bland,Positive,The prices are fair and affordable for some. But there are some stalls that are overpriced,Positive,The enviroment is uncomfortable if it is crowded. There is also no signal for mobile phones which is annoying.,Negative
Male,20,3rd Year,Some food stalls have food that taste amazing namely the use of sauces and spices. Some also cook their food to order which helps to keep the food hot which makes it taste better.,Positive,Some of the prices in my opinion are too expensive. Especially since the serving size is too little for what the price of the food is making it really not worth it at times.,Positive,Sometimes students leave the table that they used really dirty. Most of the time the environment is okay with the only issue being the amount of people and chairs not being proportional. ,Negative
Male,21,3rd Year,"For me the food in the food square are fine in terms of taste. However, taste is subjective so others may find it bad.",Negative,"For me, the pricing is quite high. But I also understand it, because the prices of the ingredients and other expenses such as the rent are also high.",Neutral,"For me, the environment can be improved, especially the dusty tables. The layout of tables can be improve as well.",Positive
Male,20,3rd Year,My sentiment is positive. Lutong-bahay is one of my favourite foods and some stalls fulfill this for me.,Positive,A bit pricy. Could be a lot more student-friendly,Neutral,"The environment is good. A bit more space would be nice, however.",Positive
Female,20,3rd Year,The taste is good. It is commercialized.,Positive,"Foods' price are definitely high. For me, it is not student-friendly anymore.",Positive,"The square itself is spacious, except during peak hours especially lunch time. Separation of trash is present, which makes students more disciplined. Lastly, it is always hot and humid, but it is something that is beyond our control.",Neutral
Female,20,3rd Year,I’ve always had good experience in DLSU-D Food Square because of the food quality. The foods I buy there always satisfy my cravings.,Positive,"For me, it’s budget-friendly and affordable. They really value the students’ money. ",Positive,It was fine for me since it’s an open area with natural surroundings. The environment really do create a very inviting atmosphere.,Positive
Female,19,3rd Year,"Some stalls offer great food, but there are also other stalls that does not match up my palate. Most of the time the taste of the food is quite bland.",Positive,I think it's just right considering the inflation we have in our country now. Some stalls give a huge portion that matches up the amount I'm paying for.,Positive,It's too crowded and messy for me. It's hard finding an unoccupied seat that is clean.,Negative
Male,20,3rd Year,"I find it mid overall, some are delicious while others seem to be not my type.  I'm not really into dishes that are full of pork and it's the most served dish in some stalls. But when it comes to taste, all the dishes that I find that have chicken on them are superb!",Positive,"Moderately expensive, I find it pricey on several stalls especially on deserts. I don't really think some would spend 50 pesos on a single donut that has nothing special on it. The restaurants outside the university can outweigh the stalls from DLSUD-D's Food Square.",Negative,"Pretty decent, timing of seats is excellent, especially at lunchtime. Every time you go from the Food Square there is always a clean table available. Students/people who use tables are very disciplined when it comes to cleanliness. ",Positive
Male,19,3rd Year,"Food tastes good, I guess. Some food taste great and some taste okay.",Positive,Food there feels overpriced. I feel like you can get more serving size for the same price outside.,Positive,"It's okay. Aside from the hot weather, the place is fine for eating with your friends and classmates.",Positive
Male,21,3rd Year,Average Taste. Nothing Mindblowing experiences.,Neutral,Average. Just the right price,Neutral,Can be improved. overall above average,Positive
Male,22,3rd Year,The cheap ones tastes great. The more expensive ones tastes fine.,Positive,"Price varies from what and where you buy, and the quality coincide with the price increase to a certain degree. I like that there are various choices when it comes to price.",Positive,"Not enough space, especially when its around twelve noon and the space feels crammed. Extending the space might help.",Positive
Female,22,3rd Year,The foods at food square has good options to choose from. They also have quality foods to serve ,Positive,"Foods at food square are not so budget friendly. For a small serving, the price is not worth it.",Positive,"Food Square can be full of people sometimes, but it's a good place to eat.",Positive
Male,21,3rd Year,"There are spots within the food square where food are good and great. Otherwise, there are food spots that are not proportionate with the overall taste and price. Some spots can be expensive with unappetizing food.",Positive,The price of food within the DLSU-D Food Square matches outside food prices. But the convenience they offer for breakfast and lunch times are worth the price.,Positive,"There are times that the food square can not accomodate more students due to the lunch rush hour. Other than that, the environment of the food square is good.",Positive
Female,20,3rd Year,"It's good, it makes me happy and sometimes it doesn't.",Positive,It's kind of pricey for students like us.,Positive,It's okay.,Positive
Male,21,3rd Year,Nothing out of the ordinary in terms of taste. Overall quite solid.,Positive,Not the best option financially-wise and quality wise in terms of price. I very much prefer to eat somewhere else.,Positive,Honestly a solid environment albeit quite humid but it is bearable on a good day. ,Positive
Male,20,3rd Year,It is very nice. I don't like the others though.,Positive,I'm not going to lie but it is so expensive. My pocket is always empty because of it.,Negative,"Sometimes, it is very crowdy. I like it when there is a few people in it.",Positive
Male,20,3rd Year,"The food consistently tastes good. While I dislike how it can get repetitive, the overall taste is still good enough for me.",Positive,"The price of the food is too expensive. While the serving sizes are big, it is only sometimes worth it because they are still to expensive.",Positive,"The Food Square is usually uncomfortable. The area is usually packed with students and not much ventilation, making it very hot and humid.",Negative
Male,22,3rd Year,Nothing special. It is also expensive.,Negative,I consider it expensive for the quality of food. There are much cheaper food outside the campus. ,Neutral,The overall vibe is amazing. We are surrounded by trees and the area is clean.,Positive
Male,21,3rd Year,"Half of them are bad, Some are good though I haven't tasted all of them yet",Negative,"A bit high, prices should be a lower.",Negative,I think the environment is okay because it doesn't get hot. My only gripe about it are the insects because some of them drop on us.,Negative
